priority,course_name,city,county,zip,website,booking_software,golfnow_listed,contact_name,contact_title,contact_email,contact_phone,notes,source_url
HIGH,Topgolf,Auburn Hills,Oakland,48326,https://topgolf.com/us/auburn-hills/,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJw4oNcfyVJIgRuLMCPibm-nE
HIGH,Fieldstone Golf Club,Auburn Hills,Oakland,48326,http://www.fieldstonegolfclub.com/,foreUP,NO,,,proshop@auburnhills.org,248.370.9354,VERIFY: membership language detected,https://www.google.com/maps/place/?q=place_id:ChIJrRM1ujWVJIgRIVL5qLQG2ko
HIGH,Evolution Sportsplex,Auburn Hills,Oakland,48326,http://www.evolutionsportsplex.com/,Manual / Phone Only,NO,,,dd0a55ccb8124b9c9d938e3acf41f8aa@sentry.wixpress.com,(248) 499-9991,,https://www.google.com/maps/place/?q=place_id:ChIJqydWEHnAJIgRePRrVOXW0uY
HIGH,Lincoln Hills Golf Course,Birmingham,Oakland,48009,http://www.golfbirmingham.org/,Manual / Phone Only,NO,,,noreply@revize.com,(248) 530-1670,,https://www.google.com/maps/place/?q=place_id:ChIJRaFGdInHJIgRCYMHNuZs6wQ
HIGH,Heathers Club of Bloomfield,Bloomfield Hills,Oakland,48304,http://www.heathersclub.com/,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ9yIAipTAJIgRN-JH5TxG3P8
HIGH,Springdale Golf Course,Bloomfield Hills,Oakland,48304,http://www.golfbirmingham.org/,Manual / Phone Only,NO,,,noreply@revize.com,(248) 530-1670,,https://www.google.com/maps/place/?q=place_id:ChIJhclLjiLHJIgR8ewgeW1JCyg
HIGH,Huntmore Golf Club,Brighton,Livingston,48114,https://www.huntmoregolfclub.com/,Club Caddie,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ70sORctEI4gRGVE_mw4vbFU
HIGH,Huron Meadows Golf & XC Ski Center,Brighton,Livingston,48116,https://www.metroparks.com/huron-meadows-metropark/,Unknown Online Booking,NO,,,info@metroparks.com,(810) 227-2757,,https://www.google.com/maps/place/?q=place_id:ChIJgSTkUjBOI4gRQTwpyCTmUMM
HIGH,Golf-O-Rama,Brighton,Livingston,48114,https://www.golf-o-rama.net/,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJFa7CEMlaI4gRw-4hfdqdoFM
HIGH,Red Stakes Golf,Brighton,Livingston,48114,http://rsgolf.com/,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJM1QFZgBFI4gRxJ5FR0e2-sQ
HIGH,Huron Meadows Metropark,Brighton,Livingston,48116,http://www.metroparks.com/parks/huron-meadows-metropark/,Unknown Online Booking,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJV5or2PxRI4gRi0idLPMihk0
HIGH,X-Golf Brighton,Brighton,Livingston,48116,https://playxgolf.com/locations/brighton/,Unknown Online Booking,NO,,,xgolf-logo@2x-1.png,810-360-0829,,https://www.google.com/maps/place/?q=place_id:ChIJ55c8i7hRI4gRR-yS-K232Rc
HIGH,Carleton Glen Golf Club,Carleton,Monroe,48117,,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJPw7IEFlCO4gRRIe61uCpgwk
HIGH,Thorne Hills Golf Course,Carleton,Monroe,48117,http://www.thornehills.com/,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJl4Bo9ZFdO4gR2chsTyXG8H4
HIGH,Golden Hawk Public Golf Course & Banquet Center,Casco,St. Clair,48064,https://goldenhawkgolf.com/,Tee It Up,NO,,,info@goldenhawkgolf.com,(586) 727-4681,,https://www.google.com/maps/place/?q=place_id:ChIJcda5E_YQJYgRNzrZjHQqZsA
HIGH,Michigan Meadows Golf Course,Casco,St. Clair,48064,http://littlecamilles.com/,Tee It Up,NO,,,icons@2x.png,,,https://www.google.com/maps/place/?q=place_id:ChIJdQsPC6cRJYgRDAPBaQhVIqw
HIGH,Little Camille's By The Green @ Michigan Meadows Golf,Casco,St. Clair,48064,http://www.littlecamilles.com/,Tee It Up,NO,,,icons@2x.png,,,https://www.google.com/maps/place/?q=place_id:ChIJycafJHoQJYgRwJJBX7uiWDY
HIGH,Pierce Lake Golf Course,Chelsea,Washtenaw,48118,http://www.piercelakegolf.com/,Tee It Up,NO,,,plgc@washtenaw.org,(734) 475-5858,,https://www.google.com/maps/place/?q=place_id:ChIJBSGn2bPOPIgRB9_B2ef5gCY
HIGH,Prime Golf Simulators,Chesterfield,Macomb,48047,http://www.primegolf.online/,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJY7oLjvMZJYgRlpDPbY1hrOc
HIGH,TPC Michigan,Dearborn,Wayne,48120,https://www.invitedclubs.com/clubs/tpc-michigan,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJQaXCU1o0O4gR4ip3rVHm5Zo
HIGH,Dearborn Golf Course,Dearborn,Wayne,48124,https://www.dearborncountryclub.net/,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJLbRQT4FKO4gRQydRYrLBLt0
HIGH,Dearborn Hills Golf Course,Dearborn,Wayne,48124,http://www.dearbornhills.com/,foreUP,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ79PlXkRKO4gRSkNJ3l_glxs
HIGH,Warren Valley Golf Course,Dearborn Heights,Wayne,48127,https://warrenvalleydh.com/?utm_source=google&utm_medium=organic&utm_campaign=googlebusinessprofile_home,Club Caddie,NO,,,lunis@clubcaddie.com,313-989-0135,,https://www.google.com/maps/place/?q=place_id:ChIJd3oD0SZLO4gRJsgS8aTAtlA
HIGH,Rouge Park Golf Course,Detroit,Wayne,48228,http://www.rouge.golf/?utm_source=extnet&utm_medium=yext,Tee It Up,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJVYlUQZ_KJIgRQIqLn-QWCgI
HIGH,Five Iron Golf,Detroit,Wayne,48226,https://fiveirongolf.com/locations/detroit-downtown/?utm_source=local&utm_medium=organic&utm_campaign=mi&utm_content=detroit-downtown,Manual / Phone Only,NO,,,detroit@fiveirongolf.com,(800) 513-5153,,https://www.google.com/maps/place/?q=place_id:ChIJ0YqoKGgtO4gRF6qM68KMaSw
HIGH,Chandler Park Golf Course,Detroit,Wayne,48213,http://chandler.golf/?utm_source=extnet&utm_medium=yext,Tee It Up,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJm7--0gHVJIgRPEa6H5uVJF4
HIGH,Belle Isle Golf Range,Detroit,Wayne,48207,https://belleislegolf.com/,Manual / Phone Only,NO,,,info@belleislegolf.com,(313) 566-4146,,https://www.google.com/maps/place/?q=place_id:ChIJ3RSKF9DUJIgRC_FBuUTBvPQ
HIGH,Signet Golf Associates,Detroit,Wayne,48213,http://chandler.golf/,Tee It Up,NO,,,karen@golfdetroit.org,(313) 331-7755,,https://www.google.com/maps/place/?q=place_id:ChIJn3zbnxXUJIgRJwJpjqJ-dIE
HIGH,Hudson Mills Metropark Golf Course,Dexter,Washtenaw,48130,https://golf.metroparks.com/hudson-mills/,Tee It Up,NO,,,Tamra.Bezzeg@metroparks.com,734-426-0466,,https://www.google.com/maps/place/?q=place_id:ChIJTU3-HAy1PIgRIvo4YjRe8wU
HIGH,Dundee Golf Club,Dundee,Monroe,48131,https://www.dundeegolf.club/,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJAd2VoLKdPIgR3ijnbhWWuxY
HIGH,"The Back Nine Golf | Farmington, MI",Farmington,Oakland,48336,https://thebackninegolf.com/farmington-mi/,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJnUEE8X6xJIgRyFXBUnYea7w
HIGH,Glen Oaks Golf Course,Farmington Hills,Oakland,48334,https://www.oakgov.com/community/oakland-county-parks/golf/glen-oaks-golf-course,foreUP,NO,,,wrcwater@oakgov.com,(999) 999-9999,,https://www.google.com/maps/place/?q=place_id:ChIJfbuszAu6JIgRkQv3A5yLIqA
HIGH,Copper Creek Golf Course,Farmington Hills,Oakland,48331,https://coppercreekgolfcourse.com/,Club Caddie,NO,,,astigma@astigmatic.com,(248) 489-1777,,https://www.google.com/maps/place/?q=place_id:ChIJPWtD7RSvJIgRhngiR9Lzris
HIGH,Farmington Hills Golf Club,Farmington Hills,Oakland,48335,https://www.fhgov.com/facilities/golf-club-and-driving-range/,Unknown Online Booking,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJGVHo4yuwJIgRm4dX5W1PEgo
HIGH,Tyrone Hills Golf Club,Fenton,Livingston,48430,https://tyronehillsgolf.com/,foreUP,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJx0ZT831oI4gRbV8fgV1w-hI
HIGH,Warfield Greens Golf Club,Fraser,Macomb,48026,,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJG0PRtxnZJIgRrTpdpk0y7N4
HIGH,Off The Tee,Garden City,Wayne,48135,https://www.offtheteegolfing.com/,Unknown Online Booking,NO,,,user@domain.com,,,https://www.google.com/maps/place/?q=place_id:ChIJnR5PDgRLO4gRSZt5KtbxnzQ
HIGH,Chaps 3 at Leaning Tree Golf Course,Goodells,St. Clair,48027,,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ3x_PbT0KJYgRV7tk-pcKhpc
HIGH,The Majestic at Lake Walden,Hartland,Livingston,48353,http://www.majesticgolf.com/,foreUP,NO,,,majestic@majesticgolf.com,810-632-5235,,https://www.google.com/maps/place/?q=place_id:ChIJM1-sdipDI4gRYrlarr1nTfM
HIGH,Heather Highlands Golf Club,Holly,Oakland,48442,,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ20HpC22cJIgRnVwi5tx72Ms
HIGH,Virtual Links Golf Clubhouse at Crowne Pointe Center,Holly,Oakland,48442,https://www.crownepointecenter.com/,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJx7Ln7cNjI4gRubtf9xHWNrU
HIGH,Hunters Ridge Golf Course,Howell,Livingston,48855,https://golfhuntersridge.com/,Tee It Up,NO,,,mark@golfhuntersridge.com,517-545-4653,,https://www.google.com/maps/place/?q=place_id:ChIJAUWcPnEVI4gRpneyVZNcY2s
HIGH,Tap-In's,Howell,Livingston,48843,http://www.tap-ins.com/,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJ8weiwiFHI4gRwSAdsuzfOJo
HIGH,Chemung Hills Golf Club & Banquet Center,Howell,Livingston,48843,http://www.chemunghills.com/,Tee It Up,NO,,,events@chemunghills.com,(517) 546-4230,,https://www.google.com/maps/place/?q=place_id:ChIJU6p7gB9HI4gRgCFf9apLs5g
HIGH,Hawk Meadows Golf Course,Howell,Livingston,48855,http://www.hawkmeadows.com/,Unknown Online Booking,NO,,,hawkmeadows@yahoo.com,517-546-4635,,https://www.google.com/maps/place/?q=place_id:ChIJC0ioR4A_I4gRisg8OX_j5SA
HIGH,Ironwood Golf Club,Howell,Livingston,48843,http://golfironwood.com/,Unknown Online Booking,NO,,,golfironwood@yahoo.com,517.546.3211,,https://www.google.com/maps/place/?q=place_id:ChIJVeoGspFDI4gROtjd65P1u2w
HIGH,Faulkwood Golf Club,Howell,Livingston,48843,http://faulkwood.com/,Unknown Online Booking,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJoWulX5lGI4gRLzYIOECtfXM
HIGH,The Swing Lab,Howell,Livingston,48843,https://www.tslmi.com/,Manual / Phone Only,NO,,,theswinglabmi@gmail.com,517-294-2628,,https://www.google.com/maps/place/?q=place_id:ChIJPW29vtldI4gRFMwPMggfbNc
HIGH,2FOGS's Golf,Howell,Livingston,48843,http://www.2fogsgolf.com/,Unknown Online Booking,NO,,,user@domain.com,517-295-4182,,https://www.google.com/maps/place/?q=place_id:ChIJ8de6VxZHI4gRFSEwc5Jjcu0
HIGH,Rackham Golf Course,Huntington Woods,Oakland,48070,http://rackham.golf/?utm_source=extnet&utm_medium=yext,Tee It Up,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJSd7SN33JJIgR4jhl_87GeUA
HIGH,Inkster Valley Golf Course and Indoor Golf Facility,Inkster,Wayne,48141,http://www.inkstervalleygolf.com/,foreUP,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJo1rYlfNLO4gRO9OP_MWe74M
HIGH,Solitude Links Golf Course & Banquet Center,Kimball,St. Clair,48074,https://www.solitudelinksgolf.com/,GolfNow,YES,,,proshop@solitudelinksgolf.com,(810) 982-3673,,https://www.google.com/maps/place/?q=place_id:ChIJGXg-MH2fJYgRbtF4SOKAIr0
HIGH,Bunker's Burger & BBQ Co.,Kimball,St. Clair,48074,https://www.solitudelinksgolf.com/,GolfNow,YES,,,proshop@solitudelinksgolf.com,(810) 982-3673,,https://www.google.com/maps/place/?q=place_id:ChIJGXg-MH2fJYgRfzqPfEK-m30
HIGH,Solitude Links Indoor Golf Simulator,Kimball,St. Clair,48074,https://www.solitudelinksgolf.com/golf/indoor-golf-simulator,Quick18,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJR1H44IihJYgR6A70C9w5GxA
HIGH,Mara Greens Golf Simulator,Lathrup Village,Oakland,48076,http://maragreensgolf.com/,Unknown Online Booking,NO,,,8c4075d5481d476e945486754f783364@sentry.io,(313) 889-1484,,https://www.google.com/maps/place/?q=place_id:ChIJG_rmZQDJJIgRdwX9aAVNT9M
HIGH,Richmond Forest Golf Course,Lenox,Macomb,48050,http://richmondforestgolf.com/,Unknown Online Booking,NO,,,richmondforestgolf@msn.com,586-727-4742,,https://www.google.com/maps/place/?q=place_id:ChIJAbVwiNcEJYgRTTIqrkFW7Js
HIGH,Idyl Wyld Golf Course,Livonia,Wayne,48154,http://www.golflivonia.com/,Tee It Up,NO,Tom Welsh,Director of Golf,,(248) 471-3400,,https://www.google.com/maps/place/?q=place_id:ChIJ82OfVF-yJIgRaJJ7Y7hw02w
HIGH,Whispering Willows Golf Course,Livonia,Wayne,48152,http://www.golflivonia.com/,Tee It Up,NO,Tom Welsh,Director of Golf,,(248) 471-3400,,https://www.google.com/maps/place/?q=place_id:ChIJv4yllhyyJIgRebVlXt8UjeI
HIGH,Fox Creek Golf Course,Livonia,Wayne,48152,http://www.golflivonia.com/,Tee It Up,NO,Tom Welsh,Director of Golf,,(248) 471-3400,,https://www.google.com/maps/place/?q=place_id:ChIJf9Olgj2yJIgR88LX0eoZBtY
HIGH,Players Golf Livonia,Livonia,Wayne,48152,http://www.playershdgolf.com/,Unknown Online Booking,NO,,,playersgolfeventcenter@yahoo.com,248.987.2887,,https://www.google.com/maps/place/?q=place_id:ChIJoabrivuxJIgRKlI6gNk6bhY
HIGH,"The Back Nine Golf | Livonia, MI",Livonia,Wayne,48152,https://thebackninegolf.com/livonia-mi/,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJZb15QY6zJIgR3LifnPXEk4M
HIGH,The Golf Spot,Livonia,Wayne,48150,http://www.golfspotmi.com/,Manual / Phone Only,NO,,,golfspotmi@gmail.com,(734)793-7711,VERIFY: membership language detected,https://www.google.com/maps/place/?q=place_id:ChIJT_Oh4W2tJIgRkli5dIOKQCs
HIGH,Sycamore Hills Golf Club MICHIGAN,Macomb,Macomb,48042,http://www.sycamorehills.com/,Unknown Online Booking,NO,,,proshop@sycamorehills.com,586-598-9500,,https://www.google.com/maps/place/?q=place_id:ChIJewmeFJEfJYgROV6VMmmO4E8
HIGH,Cracklewood Golf Club,Macomb,Macomb,48042,http://www.cracklewood.com/,Manual / Phone Only,NO,,,knicholl@cracklewood.com,586-781-0808,,https://www.google.com/maps/place/?q=place_id:ChIJO76uZ63hJIgRShIywjmK_BQ
HIGH,Bello Woods Golf Course,Macomb,Macomb,48042,http://www.bellowoodsgc.com/,Tee It Up,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJyVsqpqUfJYgREAlPXV1Ooss
HIGH,Par Me Up,Macomb,Macomb,48042,http://parmeup.com/,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJt5h5g3ohJYgRo0qQki_XpH8
HIGH,Red Oaks Golf Course,Madison Heights,Oakland,48071,https://www.oakgov.com/community/oakland-county-parks/golf/red-oaks-golf-course,foreUP,NO,,,wrcwater@oakgov.com,(999) 999-9999,,https://www.google.com/maps/place/?q=place_id:ChIJVQ_drkHFJIgRYxhqDnwVSuc
HIGH,T Time Golf,Manchester,Washtenaw,48158,https://www.milliescoffeehouse.com/,Manual / Phone Only,NO,,,user@domain.com,,,https://www.google.com/maps/place/?q=place_id:ChIJQceo2C3DPIgRFgCm04RTxY4
HIGH,Marysville Golf Course,Marysville,St. Clair,48040,http://www.marysvillegolf.com/,Unknown Online Booking,NO,,,blents@cityofmarysvillemi.com,(810) 364-4653,,https://www.google.com/maps/place/?q=place_id:ChIJi_K0VdV1JYgRDF4coPCRsOs
HIGH,Riverview Golf Course,Marysville,St. Clair,48040,,Manual / Phone Only,NO,,,,,,https://www.google.com/maps/place/?q=place_id:ChIJR0Wgb9R1JYgRyf6eCT65120
